num|DIRECCION|CALLE|COMUNA|REGION
947|PASAJE ISLA PICTON,360,Metropolitana de |PASAJE ISLA PICTON|['PAINE', 'CONCHALI', 'PUDAHUEL']|METROPOLITANA DE SANTIAGO
948|MANUEL UMANA,667,Metropolitana de Santia|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
949|PABLA GONZALEZ VILLA LOS PARRONALES,1350|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
950|PJE CAMILO,5557,Metropolitana de Santiag|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
951|GENOVA,7273,Metropolitana de Santiago|GENOVA|['CERRO NAVIA', 'HUECHURABA', 'PROVIDENCIA']|METROPOLITANA DE SANTIAGO
952|POB LOS CALABERAS USARES 1023,0,Metropol|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
953|5 PONIENTE,6926,Biobío|CINCO PONIENTE|['TALCAHUANO', 'CHIGUAYANTE']|BIO BIO
954|PJE SERGIO PICHO,1590,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
955|ARALLA,680,Valparaíso|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|VALPARAISO
956|LONCOMILLA 4191,4143,Tarapacá|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|TARAPACA
957|OJOS DE AGUA,2106,Valparaíso|OJOS DE AGUA|['QUILPUE', 'VILLA ALEMANA']|VALPARAISO
958|BORDES COSTEROS,723,Biobío|BORDES COSTEROS|['CORONEL']|BIO BIO
959|MERCED ORIENTE,275,Valparaíso|MERCED ORIENTE|['VINA DEL MAR']|VALPARAISO
960|SALVADOR VERGARA,730,Valparaíso|SALVADOR VERGARA|['VINA DEL MAR']|VALPARAISO
961|EL VOLCAN BLOCK 651,depto201,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
962|SAN ANTONIO,0,Los Lagos|SAN ANTONIO|['ANCUD', 'PUERTO MONTT', 'OSORNO']|LOS LAGOS
963|COLLIMALLIN,01348,La Araucanía|COLLIMALLIN|['TEMUCO']|LA ARAUCANIA
964|PJE ISLA CARCOT,490,Metropolitana de San|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
965|MADRID,195,Valparaíso|MADRID|['VINA DEL MAR', 'CARTAGENA', 'QUILPUE', 'VILLA ALEMANA']|VALPARAISO
966|LOS ENCINOS,35,La Araucanía|LOS ENCINOS|['FREIRE', 'TEMUCO', 'CURACAUTIN', 'VILCUN']|LA ARAUCANIA
967|AV BALMACEDA,0495,Metropolitana de Santi|BALMACEDA|['HUECHURABA', 'PUENTE ALTO', 'PENAFLOR', 'SAN JOSE DE MAIPO', 'EL BOSQUE', 'LO ESPEJO', 'QUILICURA', 'TALAGANTE', 'LAMPA']|METROPOLITANA DE SANTIAGO
968|EL BOSQUE ALFARO,1254,Antofagasta|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|ANTOFAGASTA
969|MAIPU 3288 POB ALEMANIA CALAMA,0,Antofag|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
970|PJE JAIME,4057,Valparaíso|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|VALPARAISO
971|CAUPOLICAN 110,1906,La Araucanía|CAUPOLICAN|['PITRUFQUEN', 'LONQUIMAY', 'PUCON', 'LONCOCHE', 'GALVARINO', 'LOS SAUCES', 'CURACAUTIN', 'COLLIPULLI', 'VILCUN', 'CARAHUE', 'VICTORIA', 'MELIPEUCO', 'LAUTARO', 'SAAVEDRA', 'LUMACO', 'ANGOL', 'VILLARRICA', 'TOLTEN', 'TRAIGUEN', 'TEODORO SCHMIDT', 'RENAICO', 'ERCILLA', 'GORBEA']|LA ARAUCANIA
972|SN PABLO 8223 BLOCK 44 DEP 204,0,Metropo|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
973|TOMAS EDISON,8428,Metropolitana de Santi|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
974|KIQUE,57,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
975|DAVILA BAEZA,1033,Metropolitana de Santi|DAVILA BAEZA|['RECOLETA', 'INDEPENDENCIA']|METROPOLITANA DE SANTIAGO
976|5 ORIENTE,3436,Maule|CINCO ORIENTE|['TALCA', 'LONGAVI']|MAULE
977|MILAHUE,1865,Metropolitana de Santiago|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
978|EDUARDO BARRIOS,962,Metropolitana de San|EDUARDO BARRIOS|['LO ESPEJO', 'SAN RAMON', 'RENCA', 'COLINA']|METROPOLITANA DE SANTIAGO
979|CONDELL, 1530, VALPARAISO, Valparaíso|CONDELL|VALPARAISO|VALPARAISO
980|AMUNATEGUI,2056,Valparaíso|AMUNATEGUI|['VALPARAISO', 'VINA DEL MAR', 'VILLA ALEMANA']|VALPARAISO
981|LAS CARRETAS,a1579,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
982|28 DE MARZO BARRIO VALDES 886,0,Valparaí|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
983|PIRAMIDE,N403,Metropolitana de Santiago|LA PIRAMIDE|['PADRE HURTADO', 'RENCA']|METROPOLITANA DE SANTIAGO
984|PJE ARICA POB RAMON LARRAIN,6989,Metropo|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
985|EL MUELLE,68,Coquimbo|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|COQUIMBO
986|PJE MAIPU,155,La Araucanía|MAIPU|['VICTORIA', 'LOS SAUCES', 'ANGOL', 'GALVARINO', 'SAAVEDRA']|LA ARAUCANIA
987|VALLE DE AZAPA,0936,Metropolitana de San|VALLE DE AZAPA|['QUILICURA']|METROPOLITANA DE SANTIAGO
988|COLO COLO,115,Biobío|COLO COLO|['TOME', 'CURANILAHUE', 'ARAUCO', 'CABRERO', 'TALCAHUANO', 'SANTA JUANA', 'LOS ALAMOS', 'CANETE', 'LEBU', 'LAJA', 'SAN PEDRO DE LA PAZ', 'HUALQUI', 'CORONEL', 'CONCEPCION', 'NACIMIENTO', 'PENCO', 'CHIGUAYANTE', 'LOS ANGELES']|BIO BIO
989|PEDRO JIL,2381,Metropolitana de Santiago|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
990|PASAJE JOSE VIAL,0312,Metropolitana de S|PASAJE JOSE VIAL|['LA GRANJA']|METROPOLITANA DE SANTIAGO
991|CAMINOB MICANRRAY CEERITE,SNREGION,D LOS|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
992|POMOQUIA,6665,Metropolitana de Santiago|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
993|Avda El Bosque Sur 90,90,Metropolitana d|EL BOSQUE SUR|['LAS CONDES']|METROPOLITANA DE SANTIAGO
994|HEROES DE LA CONCEPCION,482,Los Lagos|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|LOS LAGOS
995|PAJE CERRP MAUCO,342,VILLA STA,Metropoli|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
996|CALLE MANZANA I,N2,POBLACION,Valparaíso|CALLE DEL RIO|['SAN FELIPE']|VALPARAISO
997|ARIOSTO 268,0,CERRO BARO,Valparaíso|ARIOSTO|['VALPARAISO']|VALPARAISO
998|AVDA EL BOSQUE SUR,90,Metropolitana de S|EL BOSQUE SUR|['LAS CONDES']|METROPOLITANA DE SANTIAGO
999|AVDA EL BOSQUE SUR,90,Metropolitana de S|EL BOSQUE SUR|['LAS CONDES']|METROPOLITANA DE SANTIAGO
1000|LOS CHUCAOS,72,Los Lagos|LOS CHUCAOS|['OSORNO']|LOS LAGOS
1001|CAMINOB MICANRRAY CEERITE,SNREGION,D LOS|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
1002|POMOQUIA,6665,Metropolitana de Santiago|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1003|Avda El Bosque Sur 90,90,Metropolitana d|EL BOSQUE SUR|['LAS CONDES']|METROPOLITANA DE SANTIAGO
1004|HEROES DE LA CONCEPCION,482,Los Lagos|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|LOS LAGOS
1005|PAJE CERRP MAUCO,342,VILLA STA,Metropoli|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
1006|CALLE MANZANA I,N2,POBLACION,Valparaíso|CALLE DEL RIO|['SAN FELIPE']|VALPARAISO
1007|ARIOSTO 268,0,CERRO BARO,Valparaíso|ARIOSTO|['VALPARAISO']|VALPARAISO
1008|AVDA EL BOSQUE SUR,90,Metropolitana de S|EL BOSQUE SUR|['LAS CONDES']|METROPOLITANA DE SANTIAGO
1009|AVDA EL BOSQUE SUR,90,Metropolitana de S|EL BOSQUE SUR|['LAS CONDES']|METROPOLITANA DE SANTIAGO
1010|LOS ARRAYANES,SN,Los Lagos|LOS ARRAYANES|['QUELLON', 'PUERTO MONTT', 'PUERTO VARAS', 'LOS MUERMOS', 'PURRANQUE', 'LLANQUIHUE']|LOS LAGOS
1011|AVDA EL BOSQUE SUR,90,Metropolitana de S|EL BOSQUE SUR|['LAS CONDES']|METROPOLITANA DE SANTIAGO
1012|OHIGGINS,684,Los Lagos|OHIGGINS|['CASTRO', 'PUERTO VARAS', 'QUELLON', 'DALCAHUE', 'FRUTILLAR', 'LLANQUIHUE', 'FRESIA']|LOS LAGOS
1013|PASAJE PROFESOR VILLALOBOS,550,Magallane|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
1014|JOSE IGNACIO IBIETA,3304,Valparaíso|JOSE IGNACIO IBIETA|['VINA DEL MAR']|VALPARAISO
1015|JUAN GLACINOVIC,1025,Antofagasta|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|ANTOFAGASTA
1016|LUIS GONZALES,1256,Valparaíso|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|VALPARAISO
1017|CALLE SIETE 12,1817,Metropolitana de San|CALLE SIETE|['PENALOLEN', 'LA FLORIDA', 'LAS CONDES', 'QUINTA NORMAL', 'NUNOA', 'PUDAHUEL', 'LAMPA']|METROPOLITANA DE SANTIAGO
1018|CASILLA,129,CASILLA 12,Valparaíso|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|VALPARAISO
1019|RIO CAUQUENES,4079,Los Lagos|CAUQUENES|['OSORNO', 'PUERTO MONTT', 'RIO NEGRO']|LOS LAGOS
1020|PARCELA L13,0,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
1021|LAGO LLANQUIHUE,1656,Biobío|LAGO LLANQUIHUE|['LAJA', 'TUCAPEL', 'TALCAHUANO', 'PENCO', 'LOS ANGELES', 'CONCEPCION', 'CORONEL', 'SAN PEDRO DE LA PAZ']|BIO BIO
1022|EL SANCO,1032,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
1023|AVENIDA LIBERTADOR BERNARDO OHIGGINS, 1435, 34100359, ABarrio, Metropolitana de Santiago|AVENIDA LIBERTADOR BERNARDO OHIGGINS|['LO PRADO', 'ESTACION CENTRAL', 'SANTIAGO', 'TALAGANTE']|METROPOLITANA DE SANTIAGO
1024|FRANSCISCO COLOANE,874,Metropolitana de |DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1025|AVENIDA LIBERTADOR BERNARDO OHIGGINS, 1485, 34100359, VINA DEL MAR, Metropolitana de Santiago|AVENIDA LIBERTADOR BERNARDO OHIGGINS|['LO PRADO', 'ESTACION CENTRAL', 'SANTIAGO', 'TALAGANTE']|METROPOLITANA DE SANTIAGO
1026|GORBEA,2173,Metropolitana de Santiago|GORBEA|['PUDAHUEL', 'SAN BERNARDO', 'SANTIAGO']|METROPOLITANA DE SANTIAGO
1027|SAN CAMILO 926,0,Metropolitana de Santia|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1028|PASAJE EL PONCHO,2611,Metropolitana de S|PASAJE EL PONCHO|['MAIPU', 'PENALOLEN', 'LA FLORIDA']|METROPOLITANA DE SANTIAGO
1029|OHIGGINS,891,Magallanes y de la Antártic|OHIGGINS|['CABO DE HORNOS']|MAGALLANES Y DE LA ANTARTICA CHILENA
1030|LOS ALAMOS,22016,Magallanes y de la Antá|LOS ALAMOS|['PUNTA ARENAS']|MAGALLANES Y DE LA ANTARTICA CHILENA
1031|PARCELA L13,0,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
1032|COPIAPO,252,00,Biobío|RIO COPIAPO|['CORONEL', 'CONCEPCION']|BIO BIO
1033|EL OLIVAR,1473,Maule|EL OLIVAR|['LINARES']|MAULE
1034|CALLE PUNTILLA,0470,La Araucanía|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|LA ARAUCANIA
1035|MATIAS CONCHA,40,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
1036|TRONCAL,SN,Metropolitana de Santiago|EL TRONCAL|['PUDAHUEL']|METROPOLITANA DE SANTIAGO
1037|Avda El Bosque Sur 90,90,Metropolitana d|EL BOSQUE SUR|['LAS CONDES']|METROPOLITANA DE SANTIAGO
1038|DEPARTAMENTAL ORIENTE 2685,0,Metropolita|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
1039|EL QUISCO,625,Metropolitana de Santiago|EL QUISCO|['PUENTE ALTO', 'LA FLORIDA', 'PROVIDENCIA', 'SAN BERNARDO', 'LAS CONDES', 'LA GRANJA']|METROPOLITANA DE SANTIAGO
1040|MANUEL DE SALAS,223,Metropolitana de San|MANUEL DE SALAS|['NUNOA', 'SANTIAGO', 'QUILICURA', 'SAN BERNARDO', 'CURACAVI', 'HUECHURABA']|METROPOLITANA DE SANTIAGO
1041|LEON XIII N12640A,0,Metropolitana de San|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1042|CALLE 2,1787,Maule|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|MAULE
1043|ABRANQUIL,SN,Maule|ABRANQUIL|['LINARES']|MAULE
1044|COLLANCO,583,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
1045|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1046|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
1047|VILLA GALILEA A 23 SUR 324,0,Maule|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|MAULE
1048|VICUA MACKENNA,847,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
1049|AV AUSTRAL,326,Lib. Gral. Bernardo O'Hig|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|LIBERTADOR GENERAL BERNARDO O HIGGINS
1050|PICHIDEGUA,753,Lib. Gral. Bernardo O'Hig|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|LIBERTADOR GENERAL BERNARDO O HIGGINS
1051|POBLACION LAMBE BLOK L DEPTO 23,BLOCKL,2|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
1052|GABRIELA MISTRAL,16,Biobío|GABRIELA MISTRAL|['CORONEL', 'LEBU', 'TOME', 'ARAUCO', 'CABRERO', 'LAJA', 'CANETE', 'CURANILAHUE', 'PENCO', 'TALCAHUANO', 'TUCAPEL', 'HUALQUI', 'MULCHEN', 'NACIMIENTO', 'CONCEPCION', 'LOTA', 'LOS ALAMOS', 'SAN PEDRO DE LA PAZ']|BIO BIO
1053|MANERA,305,Biobío|MANERA|['MULCHEN']|BIO BIO
1054|EL OLIVAR,1947,Lib. Gral. Bernardo O'Hig|EL OLIVAR|['SAN FERNANDO']|LIBERTADOR GENERAL BERNARDO O HIGGINS
1055|ESMERALDA,654,Los Lagos|ESMERALDA|['CASTRO', 'PUERTO MONTT', 'OSORNO', 'CALBUCO', 'QUINCHAO', 'PUERTO OCTAY', 'CHONCHI', 'ANCUD', 'RIO NEGRO']|LOS LAGOS
1056|ARMANDO MOLINA,277,Metropolitana de Sant|ARMANDO MOLINA|['PROVIDENCIA']|METROPOLITANA DE SANTIAGO
1057|PEYRONET 668,0,Valparaíso|PEYRONET|['QUILPUE']|VALPARAISO
1058|PASAJE TRES,3984,Biobío|PASAJE TRES|['SANTA JUANA', 'CABRERO', 'HUALQUI', 'TOME', 'CURANILAHUE', 'SAN PEDRO DE LA PAZ', 'YUMBEL', 'CANETE', 'NEGRETE', 'CORONEL', 'PENCO', 'MULCHEN', 'TALCAHUANO', 'LOS ANGELES', 'CHIGUAYANTE', 'LEBU', 'LAJA', 'ARAUCO', 'LOS ALAMOS', 'LOTA', 'CONCEPCION', 'HUALPEN', 'TIRUA']|BIO BIO
1059|FREIRE,942,Biobío|FREIRE|['LEBU', 'LOS ANGELES', 'YUMBEL', 'CONCEPCION', 'LOS ALAMOS', 'MULCHEN', 'LAJA', 'SANTA BARBARA', 'PENCO', 'LOTA', 'CABRERO']|BIO BIO
1060|21 DEMAYO,SN,Lib. Gral. Bernardo O'Higgi|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|LIBERTADOR GENERAL BERNARDO O HIGGINS
1061|HERBOSO,787,Metropolitana de Santiago|HERBOSO|['SANTIAGO']|METROPOLITANA DE SANTIAGO
1062|AVLIBERTADOR BERNARDO OHIGGINS,1316,OF 5|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
1063|SAN RAFAEL LOTE,2,Lib. Gral. Bernardo O'|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|LIBERTADOR GENERAL BERNARDO O HIGGINS
1064|CASTELLON 1471 CONCEPCION,0,Biobío|CASTELLON|CONCEPCION|BIO BIO
1065|PJE TRES,2,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
1066|GARCIAS REYES,575,Metropolitana de Santi|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1067|PJE LA FUENTE,1576,Metropolitana de Sant|LA FUENTE|['LA PINTANA', 'PUENTE ALTO', 'PENALOLEN', 'MAIPU']|METROPOLITANA DE SANTIAGO
1068|PASAJE PROFESOR LUIS GALDAMEZ GALDAMEZ, 374, 33002527, PUENTE ALTO, Metropolitana de Santiago|PASAJE PROFESOR LUIS GALDAMEZ GALDAMEZ|PUENTE ALTO|METROPOLITANA DE SANTIAGO
1069|COLLICO,SN,La Araucanía|COLLICO|['CURACAUTIN', 'VILLARRICA']|LA ARAUCANIA
1070|YUMBEL,PARC35B,Metropolitana de Santiago|YUMBEL|['EL BOSQUE', 'CONCHALI', 'PUDAHUEL', 'PUENTE ALTO', 'SAN BERNARDO']|METROPOLITANA DE SANTIAGO
1071|AVENIDA REGIMIENTO ARICA, 6069-205, LA SERENA, Coquimbo|AVENIDA REGIMIENTO ARICA|LA SERENA|COQUIMBO
1072|AVARGAS FUNTECILLA,4427,Metropolitana de|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1073|ISLA DECEPCION,32,Metropolitana de Santi|ISLA DECEPCION|['LO PRADO', 'PUENTE ALTO']|METROPOLITANA DE SANTIAGO
1074|PJE PAREDES,1763,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
1075|LO BROO,4331,Metropolitana de Santiago|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1076|PACOCHA,6063,Metropolitana de Santiago|PACOCHA|['SAN MIGUEL']|METROPOLITANA DE SANTIAGO
1077|DRANGER,253,Metropolitana de Santiago|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1078|LOS QUILLAY DOBLE ALTO,27,Biobío|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|BIO BIO
1079|SALVADOR ALLLENDE,5642,Metropolitana de |SALVADOR ALLENDE|['SAN BERNARDO']|METROPOLITANA DE SANTIAGO
1080|PJE EUGENIO GUERRA,0253,Tarapacá|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|TARAPACA
1081|PASAJE TURIN,4309,Biobío|PASAJE TURIN|['LAJA', 'HUALPEN']|BIO BIO
1082|CONDOMINIO LAS PALMAS CALLE PEDRO MONTT,|DIRECCIÓN DESCONOCIDA|PUERTO MONTT|LOS LAGOS
1083|KUNZA,10115,Antofagasta|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|ANTOFAGASTA
1084|8 PONIENTE 4 NORTE,10,Maule|OCHO PONIENTE|['TALCA']|MAULE
1085|PASAJE NUEVE,5413,Biobío|PASAJE NUEVE|['LOS ANGELES', 'SAN PEDRO DE LA PAZ', 'HUALPEN', 'LOS ALAMOS', 'CONCEPCION', 'TOME', 'ARAUCO', 'CURANILAHUE', 'PENCO', 'CHIGUAYANTE', 'CANETE', 'TALCAHUANO']|BIO BIO
1086|HUANCALLAO,2617,Metropolitana de Santiag|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1087|CARLOS VALENCIA,6070,Metropolitana de Sa|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1088|COLON,450,Valparaíso|COLON|['VINA DEL MAR', 'CARTAGENA', 'VILLA ALEMANA', 'LIMACHE']|VALPARAISO
1089|CALLE TERCERA,947,Valparaíso|CALLE TERCERA|['VALPARAISO']|VALPARAISO
1090|LOS OLMOS,4050,Metropolitana de Santiago|LOS OLMOS|['LA PINTANA', 'LAMPA', 'EL BOSQUE', 'TILTIL', 'MELIPILLA', 'HUECHURABA', 'LA FLORIDA', 'PENAFLOR', 'PUDAHUEL', 'EL MONTE', 'SAN JOSE DE MAIPO', 'MACUL']|METROPOLITANA DE SANTIAGO
1091|EL ATOMO,1707,Metropolitana de Santiago|ATOMO|['CERRILLOS']|METROPOLITANA DE SANTIAGO
1092|EMILIA TELLEZ,5055,Metropolitana de Sant|EMILIA TELLEZ|['NUNOA']|METROPOLITANA DE SANTIAGO
1093|SANTA ELVIRA,530,Metropolitana de Santia|SANTA ELVIRA|['SANTIAGO', 'NUNOA', 'LA FLORIDA', 'PUENTE ALTO']|METROPOLITANA DE SANTIAGO
1094|ALCINO SUR 134,0,Metropolitana de Santia|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1095|SANTOS DUMONTT,1062,Metropolitana de San|SANTOS DUMONT|['INDEPENDENCIA', 'MAIPU']|METROPOLITANA DE SANTIAGO
1096|CAPITAN ERMENDINGER,9361,Metropolitana d|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1097|SARITA GAJARDO PSJE LA ROTONDO,1732,Biob|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
1098|ARISTOTELES CORVALAN,2901,Maule|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|MAULE
1099|TLENTARU,2141,Metropolitana de Santiago|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1100|PAJSE 35,0,Metropolitana de Santiago|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1101|HAMBURGO, 165, NUNOA, Metropolitana de Santiago|HAMBURGO|NUNOA|METROPOLITANA DE SANTIAGO
1102|POBLACION SAN MARTIN CALE LAUTARO 788,78|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
1103|LOS GERANIOS,382,Biobío|LOS GERANIOS|['TALCAHUANO', 'LOTA']|BIO BIO
1104|GENERAL,0159,Atacama|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|ATACAMA
1105|AV SANTA MARIA,349,depto13,Metropolitana|SANTA MARIA|['LA CISTERNA', 'PAINE', 'MAIPU', 'CERRILLOS', 'CERRO NAVIA', 'LA FLORIDA', 'PADRE HURTADO', 'SAN JOAQUIN', 'PENALOLEN']|METROPOLITANA DE SANTIAGO
1106|AVENIDA INDEPENDENCIA, 1108, 1108, 31600242, INDEPENDENCIA, Metropolitana de Santiago|AVENIDA INDEPENDENCIA|INDEPENDENCIA|METROPOLITANA DE SANTIAGO
1107|BENJAMIN LABBE,98I,Metropolitana de Sant|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
1108|RIO BIO BIO 3,0,Biobío|BIOBIO|['NACIMIENTO']|BIO BIO
1109|PASAJE 3,144,Biobío|PASAJE EL RIO|['CANETE']|BIO BIO
1110|GAY,2440,DP 637,Metropolitana de Santiag|GAY|['SANTIAGO']|METROPOLITANA DE SANTIAGO
1111|PASAJE LOS BOTEROS,313,Metropolitana de |PASAJE LOS BOTEROS|['MAIPU', 'PUDAHUEL']|METROPOLITANA DE SANTIAGO
1112|COLCHAGUA,337,Biobío|COLCHAGUA|['TALCAHUANO']|BIO BIO
1113|ARTURO PARAT SAN JUAN DE LA SIERRA,SN,Li|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|REGION DESCONOCIDA
1114|CORREO ESTACION VILLA ALEGRE,SN,Maule|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|MAULE
1115|NO DISPONIBLE,0,Lib. Gral. Bernardo O'Hi|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|LIBERTADOR GENERAL BERNARDO O HIGGINS
1116|AV REAL AUDIENCIA,880,Biobío|REAL AUDIENCIA|['HUALPEN']|BIO BIO
1117|PEDRO FONTOVA 5687,0,Metropolitana de Sa|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
1118|CAUPOLICAN,1271,Atacama|CAUPOLICAN|['DIEGO DE ALMAGRO', 'VALLENAR', 'CHANARAL', 'COPIAPO', 'CALDERA', 'HUASCO']|ATACAMA
1119|OBISPO LAVE,1142,Tarapacá|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|TARAPACA
1120|CHACABUCO,1496,Biobío|CHACABUCO|['LOS ANGELES', 'PENCO', 'CORONEL', 'TOME', 'TALCAHUANO', 'LOTA', 'YUMBEL', 'CANETE', 'LEBU', 'CONCEPCION', 'ARAUCO', 'LAJA', 'CURANILAHUE']|BIO BIO
1121|PASAJE JUAN CHOAGODA,0298,Metropolitana |DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|METROPOLITANA DE SANTIAGO
